"","unique_project_names","latitudes","longitudes"
"497","GLASGOW RESIDENCE","1.3615891","103.8785013"
"498","HILLS APARTMENT","1.3210934","103.8337149"
"499","GOLDHILL TOWERS","1.3206998","103.8333316"
"500","ICON","1.3014488","103.7924123"
"501","THE GRANGE","1.301418","103.8237261"
"502","SPRING GROVE","1.2979568","103.8274218"
"503","GRANGE RESIDENCES","1.3039086","103.8227638"
"504","120 GRANGE","1.3000017","103.82554"
"505","MANHATTAN MANSIONS","1.2998504","103.8284099"
"506","GRANGE INFINITE","1.2998195","103.8348482"
"507","CLIVEDEN AT GRANGE","1.2992831","103.826623"
"508","PARKVIEW ECLAT","1.3007114","103.8242116"
"509","GRAMERCY PARK","1.2983473","103.8265543"
"510","BEVERLY HILL","1.2987507","103.8256011"
"511","SIGNATURE CREST","1.3123283","103.8931337"
"512","SIGNATURE RESIDENCE","1.3110543","103.8923682"
"513","ONE K GREENLANE","1.352083","103.819836"
"514","GREENDALE COURT","1.3317021","103.8071814"
"515","HILLCREST PARK","1.352083","103.819836"
"516","COSMO","1.352083","103.819836"
