"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"19115",19115,19115,"Block 183, TOA PAYOH CTRL, Singapore","HDB","TOA PAYOH CTRL",17691,4e+05,"2022-06-01","Non",67,5970.149254,"Improved HDB",12,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1972,49.16666667,"400k-500k","40-50",103.8490489,1.3342641,"Central"
"89968",89968,89968,"Block 96A, HENDERSON RD, Singapore","HDB","HENDERSON RD",80417,820000,"2021-03-01","Non",93,8817.204301,"Model A HDB",3,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,2019,97.16666667,"800k-900k","70-100",103.8176054,1.2804105,"South"
"98618",98618,98618,"ESTELLA GARDENS, FLORA ROAD, Singapore","ESTELLA GARDENS","FLORA ROAD",125518,1138000,"2022-04-01","Strata",106,10736,"Condominium",17,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1m-1.25m",NA,103.9670804,1.3600291,"East"
"108061",108061,108061,"LE REGAL, GEYLANG ROAD, Singapore","LE REGAL","GEYLANG ROAD",124804,618000,"2023-11-01","Strata",39,15846,"Apartment",14,"Rest of Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"600k-700k",NA,103.8800964,1.3124639,"East"
"50500",50500,50500,"Block 430C, FERNVALE LINK, Singapore","HDB","FERNVALE LINK",23095,430000,"2022-06-01","Non",67,6417.910448,"Model A HDB",19,"Outside Central Region","16 to 20","Public Housing",3,0,1,1,1,2015,92,"400k-500k","70-100",103.8790556,1.3941017,"North"
"27969",27969,27969,"Block 241, BT BATOK EAST AVE 5, Singapore","HDB","BT BATOK EAST AVE 5",7249,338000,"2021-04-01","Non",67,5044.776119,"New Generation HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1985,63.5,"300k-400k","50-70",103.7549128,1.3532617,"West"
"95344",95344,95344,"COTE D'AZUR, MARINE PARADE ROAD, Singapore","COTE D'AZUR","MARINE PARADE ROAD",118804,2435000,"2021-08-01","Strata",156,15609,"Condominium",15,"Rest of Central Region","06 to 10","Apartment & Condo",4,0,2,1,1,2001,76,"2m-2.5m","70-100",103.9041446,1.3009011,"East"
"54790",54790,54790,"Block 466, SEGAR RD, Singapore","HDB","SEGAR RD",41305,510000,"2022-06-01","Non",110,4636.363636,"Premium Apartment HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2002,78.83333333,"500k-600k","70-100",103.7707991,1.3886269,"West"
"4758",4758,4758,"Block 103B, EDGEFIELD PLAINS, Singapore","HDB","EDGEFIELD PLAINS",24876,440000,"2021-04-01","Non",110,4000,"Improved HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2003,81.16666667,"400k-500k","70-100",103.9090538,1.4008414,"North"
"123445",123445,123445,"ST PATRICK'S GREEN, ST. PATRICK'S ROAD, Singapore","ST PATRICK'S GREEN","ST. PATRICK'S ROAD",136688,1440000,"2023-09-01","Strata",75,19200,"Apartment",15,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1.25m-1.5m",NA,103.9138567,1.3084243,"East"
"27774",27774,27774,"Block 24, BALAM RD, Singapore","HDB","BALAM RD",1897,285000,"2023-09-01","Non",60,4750,"Standard HDB",14,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1967,42.41666667,"200k-300k","40-50",103.8865832,1.3298887,"East"
"5956",5956,5956,"Block 108, SERANGOON NTH AVE 1, Singapore","HDB","SERANGOON NTH AVE 1",9522,350000,"2023-06-01","Non",60,5833.333333,"Improved HDB",12,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1985,60.66666667,"300k-400k","50-70",103.8723348,1.3644344,"East"
"118856",118856,118856,"RV SUITES, RIVER VALLEY ROAD, Singapore","RV SUITES","RIVER VALLEY ROAD",129703,1075000,"2023-10-01","Strata",50,21500,"Apartment",10,"Core Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,NA,NA,"1m-1.25m",NA,103.8294316,1.2956195,"South"
"79316",79316,79316,"Block 732, JURONG WEST ST 73, Singapore","HDB","JURONG WEST ST 73",52537,560000,"2023-07-01","Non",123,4552.845528,"Improved HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1995,71,"500k-600k","70-100",103.6998098,1.3470654,"West"
"113539",113539,113539,"PARC ESTA, SIMS AVENUE, Singapore","PARC ESTA","SIMS AVENUE",104658,2065000,"2023-11-01","Strata",89,23202,"Apartment",14,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2018,93,"2m-2.5m","70-100",103.902813,1.3185783,"East"
"33090",33090,33090,"Block 285, CHOA CHU KANG AVE 3, Singapore","HDB","CHOA CHU KANG AVE 3",37180,490000,"2023-10-01","Non",104,4711.538462,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1993,68.75,"400k-500k","50-70",103.742389,1.3807559,"West"
"94145",94145,94145,"CITYLIGHTS, JELLICOE ROAD, Singapore","CITYLIGHTS","JELLICOE ROAD",126480,1180000,"2023-08-01","Strata",55,21455,"Condominium",8,"Rest of Central Region","21 to 25","Apartment & Condo",1,0,1,1,1,2004,79,"1m-1.25m","70-100",103.8412674,1.3501487,"Central"
"818",818,818,"ADAM PARK CONDOMINIUM, ADAM ROAD, Singapore","ADAM PARK CONDOMINIUM","ADAM ROAD",113522,1650000,"2022-04-01","Strata",89,18539,"Condominium",11,"Core Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1.5m-2m",NA,103.8137526,1.3277208,"Central"
"119709",119709,119709,"SEASTRAND, PASIR RIS LINK, Singapore","SEASTRAND","PASIR RIS LINK",117058,1220000,"2022-02-01","Strata",103,11845,"Condominium",18,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2011,86,"1m-1.25m","70-100",103.9605895,1.3761128,"East"
"11978",11978,11978,"Block 130, CHOA CHU KANG AVE 1, Singapore","HDB","CHOA CHU KANG AVE 1",12338,370000,"2021-01-01","Non",105,3523.809524,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1993,71.41666667,"300k-400k","70-100",103.7449625,1.3767043,"West"
"97543",97543,97543,"ECO, BEDOK SOUTH AVENUE 3, Singapore","ECO","BEDOK SOUTH AVENUE 3",100565,1265000,"2022-12-01","Strata",78,16218,"Condominium",16,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2012,87,"1.25m-1.5m","70-100",103.944593,1.3241458,"East"
"49937",49937,49937,"Block 426A, YISHUN AVE 11, Singapore","HDB","YISHUN AVE 11",47942,540000,"2021-06-01","Non",112,4821.428571,"Improved HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2015,92.83333333,"500k-600k","70-100",103.8447187,1.424577,"North"
"112477",112477,112477,"OPERA ESTATE, FIDELIO STREET, Singapore","OPERA ESTATE","FIDELIO STREET",89209,3388000,"2022-11-01","Land",181.5,18667,"Terrace House",15,"Outside Central Region","-","Landed",4,0,2,1,1,NA,NA,"3m-4m",NA,103.9235753,1.3193914,"East"
"93023",93023,93023,"CASTLE GREEN, YIO CHU KANG ROAD, Singapore","CASTLE GREEN","YIO CHU KANG ROAD",111355,1318000,"2024-02-01","Strata",105,12552,"Condominium",26,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1993,68,"1.25m-1.5m","50-70",103.840822,1.3865164,"Central"
"111039",111039,111039,"NIN RESIDENCE, PHENG GECK AVENUE, Singapore","NIN RESIDENCE","PHENG GECK AVENUE",116473,768000,"2021-11-01","Strata",45,17067,"Apartment",13,"Rest of Central Region","16 to 20","Apartment & Condo",1,0,1,1,1,2010,85,"700k-800k","70-100",103.8699274,1.3325808,"East"
"130803",130803,130803,"THE PANORAMA, ANG MO KIO AVENUE 2, Singapore","THE PANORAMA","ANG MO KIO AVENUE 2",114487,2250000,"2024-02-01","Strata",105,21429,"Condominium",20,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2013,88,"2m-2.5m","70-100",103.8339842,1.3756623,"Central"
"120513",120513,120513,"SERANGOON GARDEN ESTATE, HEMSLEY AVENUE, Singapore","SERANGOON GARDEN ESTATE","HEMSLEY AVENUE",88348,4500000,"2022-10-01","Land",359.9,12503,"Semi-Detached House",19,"Outside Central Region","-","Landed",5,1,3,1,1,1954,929,"4m-5m","100+",103.8655332,1.3689598,"East"
"36114",36114,36114,"Block 302, UBI AVE 1, Singapore","HDB","UBI AVE 1",30310,463888,"2022-05-01","Non",83,5589.012048,"Simplified HDB",14,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,2000,77,"400k-500k","70-100",103.8980834,1.3262572,"East"
"17484",17484,17484,"Block 170, WOODLANDS ST 11, Singapore","HDB","WOODLANDS ST 11",64475,630000,"2022-11-01","Non",137,4598.540146,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1994,70.33333333,"600k-700k","70-100",103.7756533,1.4334437,"North"
"126636",126636,126636,"THE CANOPY, YISHUN AVENUE 11, Singapore","THE CANOPY","YISHUN AVENUE 11",97709,1260000,"2023-12-01","Strata",110,11455,"Executive Condominium",27,"Outside Central Region","06 to 10","Executive Condo",2,0,1,1,1,2010,85,"1.25m-1.5m","70-100",103.8482499,1.4242984,"North"
"39163",39163,39163,"Block 316A, YISHUN AVE 9, Singapore","HDB","YISHUN AVE 9",31236,468000,"2021-12-01","Non",92,5086.956522,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2015,92.91666667,"400k-500k","70-100",103.8418408,1.4338825,"North"
"12563",12563,12563,"Block 133, EDGEDALE PLAINS, Singapore","HDB","EDGEDALE PLAINS",48523,540000,"2023-08-01","Non",111,4864.864865,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2003,79.33333333,"500k-600k","70-100",103.9132309,1.3984254,"North"
"120082",120082,120082,"SEMBAWANG HILLS ESTATE, JALAN LANJUT, Singapore","SEMBAWANG HILLS ESTATE","JALAN LANJUT",88687,4280000,"2023-09-01","Land",185.9,23023,"Terrace House",20,"Outside Central Region","-","Landed",5,0,3,1,1,NA,NA,"4m-5m",NA,103.8309102,1.3704586,"Central"
"118796",118796,118796,"RV POINT, RIVER VALLEY ROAD, Singapore","RV POINT","RIVER VALLEY ROAD",130644,960000,"2022-11-01","Strata",45,21333,"Apartment",9,"Core Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,1841,816,"900k-1m","100+",103.8421493,1.2938996,"South"
"35310",35310,35310,"Block 298D, COMPASSVALE ST, Singapore","HDB","COMPASSVALE ST",43396,520000,"2022-02-01","Non",113,4601.769912,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2001,78.58333333,"500k-600k","70-100",103.8980618,1.3951499,"North"
"59037",59037,59037,"Block 504A, MONTREAL DR, Singapore","HDB","MONTREAL DR",69984,678888,"2023-03-01","Non",130,5222.215385,"Apartment HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2001,77.25,"600k-700k","70-100",103.8244035,1.4517958,"North"
"38480",38480,38480,"Block 313, ANG MO KIO AVE 3, Singapore","HDB","ANG MO KIO AVE 3",14373,380000,"2023-01-01","Non",73,5205.479452,"New Generation HDB",20,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1978,54,"300k-400k","50-70",103.8572732,1.3690195,"East"
"14963",14963,14963,"Block 151, JLN TECK WHYE, Singapore","HDB","JLN TECK WHYE",35984,487000,"2023-01-01","Non",100,4870,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1998,74.16666667,"400k-500k","70-100",103.7576493,1.3799998,"West"
"20744",20744,20744,"Block 197, BISHAN ST 13, Singapore","HDB","BISHAN ST 13",85337,955000,"2023-11-01","Non",121,7892.561983,"Improved HDB",20,"Rest of Central Region","1 to 5","Public Housing",3,0,2,1,1,1987,62.16666667,"900k-1m","50-70",103.8539786,1.3493515,"East"
"137174",137174,137174,"VIBES @ EAST COAST, TELOK KURAU ROAD, Singapore","VIBES @ EAST COAST","TELOK KURAU ROAD",125357,850000,"2023-05-01","Strata",57,14912,"Apartment",15,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"800k-900k",NA,103.9117599,1.3094781,"East"
"117906",117906,117906,"RIVEREDGE, SAMPAN PLACE, Singapore","RIVEREDGE","SAMPAN PLACE",124684,1580000,"2021-11-01","Strata",91,17363,"Condominium",15,"Rest of Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2004,79,"1.5m-2m","70-100",103.8818746,1.3010215,"East"
"103353",103353,103353,"J GATEWAY, GATEWAY DRIVE, Singapore","J GATEWAY","GATEWAY DRIVE",111525,1665000,"2023-05-01","Strata",83,20060,"Condominium",22,"Outside Central Region","21 to 25","Apartment & Condo",2,0,1,1,1,2012,87,"1.5m-2m","70-100",103.7424381,1.3357764,"West"
"53365",53365,53365,"Block 452, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",17891,4e+05,"2023-07-01","Non",67,5970.149254,"Model A HDB",27,"Outside Central Region","11 to 15","Public Housing",3,0,1,1,1,2012,88,"400k-500k","70-100",103.8321027,1.4260651,"North"
"101245",101245,101245,"HEDGES PARK CONDOMINIUM, FLORA DRIVE, Singapore","HEDGES PARK CONDOMINIUM","FLORA DRIVE",114104,745000,"2021-09-01","Strata",74,10068,"Condominium",17,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2010,85,"700k-800k","70-100",103.9672087,1.3550504,"East"
"68827",68827,68827,"Block 61C, STRATHMORE AVE, Singapore","HDB","STRATHMORE AVE",78875,790000,"2021-02-01","Non",94,8404.255319,"Model A HDB",3,"Rest of Central Region","21 to 25","Public Housing",4,0,2,1,1,2011,89.58333333,"700k-800k","70-100",103.8099224,1.2937362,"South"
"36169",36169,36169,"Block 302A, WOODLANDS ST 31, Singapore","HDB","WOODLANDS ST 31",9697,352000,"2021-04-01","Non",67,5253.731343,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2016,94.58333333,"300k-400k","70-100",103.7749482,1.4304806,"North"
"75105",75105,75105,"Block 678B, PUNGGOL DR, Singapore","HDB","PUNGGOL DR",66276,645000,"2021-05-01","Non",113,5707.964602,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2016,94.41666667,"600k-700k","70-100",103.9125114,1.4025582,"North"
"48799",48799,48799,"Block 417A, FERNVALE LINK, Singapore","HDB","FERNVALE LINK",69076,668888,"2023-10-01","Non",94,7115.829787,"Model A HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2018,93.83333333,"600k-700k","70-100",103.8790556,1.3941017,"North"
"93048",93048,93048,"CASTLE GREEN, YIO CHU KANG ROAD, Singapore","CASTLE GREEN","YIO CHU KANG ROAD",111316,920000,"2022-09-01","Strata",88,10455,"Condominium",26,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1993,68,"900k-1m","50-70",103.840822,1.3865164,"Central"
"100526",100526,100526,"GRANDEUR 8, ANG MO KIO CENTRAL 3, Singapore","GRANDEUR 8","ANG MO KIO CENTRAL 3",129443,1247000,"2021-11-01","Strata",105,11876,"Condominium",20,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2002,77,"1m-1.25m","70-100",103.847066,1.3760086,"Central"
"124843",124843,124843,"SYMPHONY SUITES, YISHUN CLOSE, Singapore","SYMPHONY SUITES","YISHUN CLOSE",108326,1280000,"2023-01-01","Strata",95,13474,"Condominium",27,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2014,89,"1.25m-1.5m","70-100",103.8442699,1.435147,"North"
"75598",75598,75598,"Block 683B, WOODLANDS DR 62, Singapore","HDB","WOODLANDS DR 62",48823,543000,"2022-09-01","Non",121,4487.603306,"Premium Apartment HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2000,76.5,"500k-600k","70-100",103.8053824,1.4393617,"North"
"134489",134489,134489,"THE VERVE, JALAN RAJAH, Singapore","THE VERVE","JALAN RAJAH",110897,720000,"2022-11-01","Strata",41,17561,"Apartment",12,"Rest of Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,NA,NA,"700k-800k",NA,103.8481365,1.3276896,"Central"
"76077",76077,76077,"Block 686D, CHOA CHU KANG CRES, Singapore","HDB","CHOA CHU KANG CRES",42482,515000,"2023-11-01","Non",110,4681.818182,"Improved HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2002,78,"500k-600k","70-100",103.7481519,1.4033017,"North"
"111281",111281,111281,"NORTHOAKS, WOODLANDS CRESCENT, Singapore","NORTHOAKS","WOODLANDS CRESCENT",96681,985000,"2022-09-01","Strata",116,8491,"Executive Condominium",25,"Outside Central Region","01 to 05","Executive Condo",3,0,2,1,1,1997,72,"900k-1m","70-100",103.807289,1.445382,"North"
"109396",109396,109396,"MARINA ONE RESIDENCES, MARINA WAY, Singapore","MARINA ONE RESIDENCES","MARINA WAY",121507,1680000,"2022-04-01","Strata",67,25075,"Apartment",1,"Core Central Region","26 to 30","Apartment & Condo",2,0,1,1,1,2011,86,"1.5m-2m","70-100",103.853187,1.2767662,"East"
"19444",19444,19444,"Block 185, PASIR RIS ST 11, Singapore","HDB","PASIR RIS ST 11",38623,5e+05,"2021-06-01","Non",123,4065.04065,"Improved HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1993,71.16666667,"500k-600k","70-100",103.9586667,1.364947,"East"
"97487",97487,97487,"ECO SANCTUARY, CHESTNUT AVENUE, Singapore","ECO SANCTUARY","CHESTNUT AVENUE",123359,1144000,"2023-06-01","Strata",65,17600,"Condominium",23,"Outside Central Region","21 to 25","Apartment & Condo",1,0,1,1,1,2012,87,"1m-1.25m","70-100",103.7758018,1.3705461,"West"
"107580",107580,107580,"LANDED HOUSING DEVELOPMENT, SENNETT TERRACE, Singapore","LANDED HOUSING DEVELOPMENT","SENNETT TERRACE",90353,3750000,"2022-03-01","Land",200.8,18675,"Terrace House",16,"Outside Central Region","-","Landed",5,0,3,1,1,NA,NA,"3m-4m",NA,103.9397218,1.3197577,"East"
"33750",33750,33750,"Block 289, BISHAN ST 24, Singapore","HDB","BISHAN ST 24",84664,930000,"2023-06-01","Non",123,7560.97561,"Premium Apartment HDB",20,"Rest of Central Region","11 to 15","Public Housing",3,0,2,1,1,1998,74,"900k-1m","70-100",103.844408,1.3565862,"Central"
"107087",107087,107087,"LANDED HOUSING DEVELOPMENT, LORONG 34 GEYLANG, Singapore","LANDED HOUSING DEVELOPMENT","LORONG 34 GEYLANG",89967,2880000,"2022-05-01","Land",150.8,19098,"Terrace House",14,"Rest of Central Region","-","Landed",4,0,2,1,1,NA,NA,"2.5m-3m",NA,103.8878678,1.3129517,"East"
"45118",45118,45118,"Block 366A, SEMBAWANG CRES, Singapore","HDB","SEMBAWANG CRES",9641,350000,"2024-02-01","Non",48,7291.666667,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",1,0,1,1,1,2019,94.25,"300k-400k","70-100",103.8167763,1.4447069,"North"
"3022",3022,3022,"BELLEWATERS, ANCHORVALE CRESCENT, Singapore","BELLEWATERS","ANCHORVALE CRESCENT",96461,1250000,"2022-10-01","Strata",92,13587,"Executive Condominium",19,"Outside Central Region","06 to 10","Executive Condo",2,0,1,1,1,2013,88,"1.25m-1.5m","70-100",103.8910415,1.3993024,"North"
"87186",87186,87186,"Block 887B, WOODLANDS DR 50, Singapore","HDB","WOODLANDS DR 50",41201,510000,"2022-02-01","Non",92,5543.478261,"Premium Apartment HDB",25,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2015,92,"500k-600k","70-100",103.7935814,1.4370612,"North"
"136099",136099,136099,"TRILIGHT, NEWTON ROAD, Singapore","TRILIGHT","NEWTON ROAD",138262,2700000,"2022-11-01","Strata",108,25000,"Condominium",11,"Core Central Region","26 to 30","Apartment & Condo",2,0,1,1,1,NA,NA,"2.5m-3m",NA,103.8399413,1.314536,"South"
"44339",44339,44339,"Block 359, BT BATOK ST 31, Singapore","HDB","BT BATOK ST 31",4880,320000,"2021-04-01","Non",64,5000,"Simplified HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1988,66.16666667,"300k-400k","50-70",103.749039,1.3581686,"West"
"7452",7452,7452,"Block 113, LOR 1 TOA PAYOH, Singapore","HDB","LOR 1 TOA PAYOH",5318,321000,"2021-12-01","Non",65,4938.461538,"Improved HDB",12,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1967,44.5,"300k-400k","40-50",103.8481821,1.3397621,"Central"
"134061",134061,134061,"THE TRILINQ, JALAN LEMPENG, Singapore","THE TRILINQ","JALAN LEMPENG",113111,860000,"2023-05-01","Strata",50,17200,"Condominium",5,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2012,87,"800k-900k","70-100",103.7616745,1.3187273,"South"
"104878",104878,104878,"KOVAN GRANDEUR, TAMPINES ROAD, Singapore","KOVAN GRANDEUR","TAMPINES ROAD",133567,730000,"2023-06-01","Strata",53,13774,"Apartment",19,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2010,85,"700k-800k","70-100",103.8920041,1.3607744,"East"
"75733",75733,75733,"Block 684B, CHOA CHU KANG CRES, Singapore","HDB","CHOA CHU KANG CRES",18988,410000,"2021-03-01","Non",110,3727.272727,"Improved HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2002,80.66666667,"400k-500k","70-100",103.7481519,1.4033017,"North"
"33294",33294,33294,"Block 286C, COMPASSVALE CRES, Singapore","HDB","COMPASSVALE CRES",27284,450000,"2022-08-01","Non",68,6617.647059,"Premium Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",3,0,1,1,1,2017,94.33333333,"400k-500k","70-100",103.8982054,1.3972429,"North"
"89092",89092,89092,"Block 93, C'WEALTH DR, Singapore","HDB","C'WEALTH DR",4039,310000,"2023-03-01","Non",60,5166.666667,"Standard HDB",3,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1967,42.83333333,"300k-400k","40-50",103.7983862,1.3024191,"South"
"101873",101873,101873,"HIGH PARK RESIDENCES, FERNVALE ROAD, Singapore","HIGH PARK RESIDENCES","FERNVALE ROAD",100163,1012800,"2023-07-01","Strata",62,16335,"Apartment",28,"Outside Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,2014,89,"1m-1.25m","70-100",103.8751347,1.396412,"North"
"129535",129535,129535,"THE LOFT, NASSIM HILL, Singapore","THE LOFT","NASSIM HILL",135227,1780000,"2023-04-01","Strata",80,22250,"Condominium",10,"Core Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1999,74,"1.5m-2m","70-100",103.8221829,1.3070096,"South"
"52157",52157,52157,"Block 443C, FAJAR RD, Singapore","HDB","FAJAR RD",70489,680000,"2023-12-01","Non",113,6017.699115,"Improved HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2016,92,"600k-700k","70-100",103.7701699,1.3841157,"West"
"53010",53010,53010,"Block 450, TAMPINES ST 42, Singapore","HDB","TAMPINES ST 42",7513,340000,"2021-02-01","Non",74,4594.594595,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1985,63,"300k-400k","50-70",103.9523818,1.3586058,"East"
"116745",116745,116745,"REGENT HEIGHTS, BUKIT BATOK EAST AVENUE 5, Singapore","REGENT HEIGHTS","BUKIT BATOK EAST AVENUE 5",105115,1050000,"2023-03-01","Strata",95,11053,"Condominium",23,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,1995,70,"1m-1.25m","50-70",103.7560359,1.3523748,"West"
